pitch_uid,pitch_no,date,pa_of_inning,pitch_of_pa,pitcher_name,pitcher_id,pitcher_throws,pitcher_team_id,pitcher_team_name,batter_name,batter_id,batter_side,batter_team_id,batter_team_name,inning,top_bottom,outs,balls,strikes,pitch_type,pitch_type_abbr,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,rel_speed,spin_rate,spin_axis,rel_height,rel_side,extension,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,vert_appr_angle,horz_appr_angle,exit_speed,launch_angle,distance,catcher_name,catcher_id,home_team_id,home_team_name,away_team_id,away_team_name,game_id,game_type,season,pitch_group,pitch_group_abbr,count_type,is_zone,is_strike,is_swing,pitch_call_prev,pitch_type_prev,pitch_group_prev,pa_id,pa_result,run_value_diff
2024-745938-129,129,9/4/24,1,3,"Hall, DL",669084,Left,MIL,MIL,"Burleson, Alec",676475,Left,STL,STL,5,Top,0,1,1,Slider,SL,BallCalled,NA,NA,NA,NA,0,87.5,2441,277,5.41,-2.63,6.7,0.48,6,1.33,1.36,-7.811802562,4.804410789,NA,NA,NA,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Breaking Ball,BRK,Early,FALSE,FALSE,FALSE,StrikeCalled,Fastball,Fastball,745938_5_1_669084_676475,NA,0.064921367
2024-745938-130,130,9/4/24,1,4,"Hall, DL",669084,Left,MIL,MIL,"Burleson, Alec",676475,Left,STL,STL,5,Top,0,2,1,Fastball,FB,FoulBall,NA,NA,NA,NA,0,94.9,2130,144,5.42,-2.67,6.9,15.24,-10.32,2.84,0.84,-4.242058845,2.855924157,79.8,19,208,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Fastball,FB,B-Ahead,FALSE,TRUE,TRUE,BallCalled,Slider,Breaking Ball,745938_5_1_669084_676475,NA,-0.099503166
2024-745938-131,131,9/4/24,1,5,"Hall, DL",669084,Left,MIL,MIL,"Burleson, Alec",676475,Left,STL,STL,5,Top,0,2,2,Fastball,FB,FoulBall,NA,NA,NA,NA,0,95.5,2027,141,5.44,-2.6,6.9,12.84,-6.72,2.06,-0.13,-5.236884253,2.060848783,92.2,-34,3,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Fastball,FB,Two Strikes,TRUE,TRUE,TRUE,FoulBall,Fastball,Fastball,745938_5_1_669084_676475,NA,0
2024-745938-132,132,9/4/24,1,6,"Hall, DL",669084,Left,MIL,MIL,"Burleson, Alec",676475,Left,STL,STL,5,Top,0,2,2,ChangeUp,CH,InPlay,NA,FlyBall,Out,1,0,85.1,2037,114,5.41,-2.56,6.7,8.04,-14.4,1.65,-0.27,-7.041113248,1.17508533,101.2,24,380,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Offspeed,OFF,Two Strikes,TRUE,TRUE,TRUE,FoulBall,Fastball,Fastball,745938_5_1_669084_676475,"In Play, Out",0.611352575
2024-745938-133,133,9/4/24,2,1,"Hall, DL",669084,Left,MIL,MIL,"Goldschmidt, Paul",502671,Right,STL,STL,5,Top,1,0,0,Fastball,FB,BallCalled,NA,NA,NA,NA,0,95.7,2239,137,5.42,-2.8,6.8,12.96,-11.04,3.24,-1.25,-3.944902669,0.686398862,NA,NA,NA,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Fastball,FB,F-Pitch,FALSE,FALSE,FALSE,NA,NA,NA,745938_5_2_669084_502671,NA,0.04620961
2024-745938-134,134,9/4/24,2,2,"Hall, DL",669084,Left,MIL,MIL,"Goldschmidt, Paul",502671,Right,STL,STL,5,Top,1,1,0,Curveball,CB,BallCalled,NA,NA,NA,NA,0,82.3,2570,305,5.59,-2.66,7,-9.48,9.24,1.64,1.21,-9.038863546,4.960323081,NA,NA,NA,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Breaking Ball,BRK,Early,FALSE,FALSE,FALSE,BallCalled,Fastball,Fastball,745938_5_2_669084_502671,NA,0.075049909
2024-745938-135,135,9/4/24,2,3,"Hall, DL",669084,Left,MIL,MIL,"Goldschmidt, Paul",502671,Right,STL,STL,5,Top,1,2,0,ChangeUp,CH,BallCalled,NA,NA,NA,NA,0,85.8,2244,120,5.36,-2.72,6.9,9.72,-16.44,1.88,1.1,-6.53321399,2.636671937,NA,NA,NA,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Offspeed,OFF,B-Ahead,FALSE,FALSE,FALSE,BallCalled,Curveball,Breaking Ball,745938_5_2_669084_502671,NA,0.120446309
2024-745938-136,136,9/4/24,2,4,"Hall, DL",669084,Left,MIL,MIL,"Goldschmidt, Paul",502671,Right,STL,STL,5,Top,1,3,0,Fastball,FB,StrikeCalled,NA,NA,NA,NA,0,94.1,2234,147,5.47,-2.69,6.8,17.04,-9.12,2.62,-0.07,-4.444521597,2.006928082,NA,NA,NA,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Fastball,FB,B-Ahead,TRUE,TRUE,FALSE,BallCalled,ChangeUp,Offspeed,745938_5_2_669084_502671,NA,-0.0750572
2024-745938-137,137,9/4/24,2,5,"Hall, DL",669084,Left,MIL,MIL,"Goldschmidt, Paul",502671,Right,STL,STL,5,Top,1,3,1,Fastball,FB,StrikeSwinging,NA,NA,NA,NA,0,94.8,2229,142,5.42,-2.79,6.9,17.52,-7.32,3.2,-0.17,-3.673349431,2.168895691,NA,NA,NA,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Fastball,FB,B-Ahead,TRUE,TRUE,TRUE,StrikeCalled,Fastball,Fastball,745938_5_2_669084_502671,NA,-0.105110207
2024-745938-138,138,9/4/24,2,6,"Hall, DL",669084,Left,MIL,MIL,"Goldschmidt, Paul",502671,Right,STL,STL,5,Top,1,3,2,Fastball,FB,FoulBall,NA,NA,NA,NA,0,94.5,2047,134,5.41,-2.6,7,15.12,-8.64,2.73,0.59,-4.395616404,2.662127929,102.8,1,58,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Fastball,FB,Two Strikes,TRUE,TRUE,TRUE,StrikeSwinging,Fastball,Fastball,745938_5_2_669084_502671,NA,0
2024-745938-139,139,9/4/24,2,7,"Hall, DL",669084,Left,MIL,MIL,"Goldschmidt, Paul",502671,Right,STL,STL,5,Top,1,3,2,Slider,SL,FoulBall,NA,NA,NA,NA,0,86.9,2308,286,5.36,-2.73,6.8,-1.68,5.52,2.12,0.94,-7.173683712,4.416359963,103.3,10,185,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Breaking Ball,BRK,Two Strikes,FALSE,TRUE,TRUE,FoulBall,Fastball,Fastball,745938_5_2_669084_502671,NA,0
2024-745938-140,140,9/4/24,2,8,"Hall, DL",669084,Left,MIL,MIL,"Goldschmidt, Paul",502671,Right,STL,STL,5,Top,1,3,2,ChangeUp,CH,InPlay,NA,FlyBall,Out,1,0,86.2,2250,131,5.43,-2.79,7,12.6,-16.32,1.65,0.57,-6.559200055,2.151692671,96,58,241,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Offspeed,OFF,Two Strikes,TRUE,TRUE,TRUE,FoulBall,Slider,Breaking Ball,745938_5_2_669084_502671,"In Play, Out",-0.362372912
